platform,status,artifact_type,package,version,public_url,repository_url,credential_status,blocked_reason,verification_result,checked_at
github,verified,source_repository,bbwdadfg/seed-audio-ai-site-kit,v0.1.0,https://github.com/bbwdadfg/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,gh_auth_used,,"public repo, homepage, source, tag, and release verified",2026-07-02T11:45:00Z
pkg_go_dev,verified,go_module,github.com/bbwdadfg/seed-audio-ai-site-kit,v0.1.0,https://pkg.go.dev/github.com/bbwdadfg/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,no_credentials_required,,pkg.go.dev page returned HTTP 200 and shows v0.1.0 for the GitHub module,2026-07-02T12:15:00Z
packagist,verified,composer_package,bbwdadfg/seed-audio-ai-site-kit,v0.1.0,https://packagist.org/packages/bbwdadfg/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,repo.packagist.org returned v0.1.0 with homepage and GitHub source,2026-07-02T11:45:00Z
crates_io_docs_rs,verified,rust_crate,seed-audio-ai-site-kit,0.1.0,https://crates.io/crates/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,cargo_credentials_file_used,,crates.io API and docs.rs page returned v0.1.0 with homepage/source links,2026-07-02T11:45:00Z
rubygems,verified,ruby_gem,seed-audio-ai-site-kit,0.1.0,https://rubygems.org/gems/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,gem_credentials_file_used,,RubyGems API returned v0.1.0 with metadata links,2026-07-02T11:45:00Z
npm,verified,javascript_package,seed-audio-ai-site-kit,0.1.0,https://www.npmjs.com/package/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,npm registry returned v0.1.0 with homepage and repository links,2026-07-02T11:45:00Z
pypi,verified,python_package,seed-audio-ai-site-kit,0.1.0,https://pypi.org/project/seed-audio-ai-site-kit/,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,PyPI JSON returned v0.1.0 with project URLs and homepage,2026-07-02T11:45:00Z
pub_dev,verified,dart_package,seed_audio_ai_site_kit,0.1.0,https://pub.dev/packages/seed_audio_ai_site_kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,dart_oauth_session_used,,pub.dev API returned v0.1.0 with homepage/repository metadata,2026-07-02T11:45:00Z
hex_hexdocs,verified,elixir_package,seed_audio_ai_site_kit,0.1.0,https://hex.pm/packages/seed_audio_ai_site_kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,Hex package and HexDocs page returned v0.1.0 with seedaud.io link,2026-07-02T11:45:00Z
clojars,verified,maven_artifact,net.clojars.tianwei/seed-audio-ai-site-kit,0.1.0,https://clojars.org/net.clojars.tianwei/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,Clojars page and repo POM returned homepage/source links,2026-07-02T11:45:00Z
docker_hub,verified,oci_image,baiwei111/seed-audio-ai-site-kit,0.1.0,https://hub.docker.com/r/baiwei111/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,Docker Registry manifest verified for tag 0.1.0 with digest sha256:f4cdd0a5b30205c7f57a9b5d7bf6f84ea8f8e327bb6ce1d3a627e11573c7f3ab,2026-07-02T11:45:00Z
jsr,verified,typescript_package,@bbwdadfg/seed-audio-ai-site-kit,0.1.0,https://jsr.io/@bbwdadfg/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,JSR meta API returned latest 0.1.0 and public package page is live,2026-07-02T12:15:00Z
maven_central_javadoc,verified,maven_artifact,io.github.bbwdadfg:seed-audio-ai-site-kit,0.1.0,https://central.sonatype.com/artifact/io.github.bbwdadfg/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_available,,"Central deployment 366a5e69-3cb8-40ba-97c0-d39102ed3cf9 is PUBLISHED; repo1 POM, JAR, sources, javadoc, and signatures returned HTTP 200; javadoc.io returned HTTP 200",2026-07-02T13:15:00Z
nuget,verified,dotnet_package,SeedAudioAISiteKit,0.1.0,https://www.nuget.org/packages/SeedAudioAISiteKit/0.1.0,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,NuGet registration API returned v0.1.0 with project URL and description,2026-07-02T11:45:00Z
